case_id,comprehensiveness,sufficiency_gap,stability_jaccard,random_baseline_delta,faithfulness_index
C0000,0.35829884988164845,0.006110770276716027,0.5,0.0581925251817283,0.5582146150319492
C0001,0.18549998766269615,0.0747168856803837,1.0,0.03526822146160397,0.5951892290863764
C0002,0.35639646830070665,0.12780463146149912,1.0,0.07894069072673689,0.6365137104698366
C0003,0.08989275003784847,0.02253025094955463,1.0,0.0525953639961717,0.560024748433888
C0004,0.34108909083700895,0.1010971934357654,0.5,0.016479731199158673,0.540745053806303
C0005,0.014974656387262253,0.1451893190792597,0.5,0.024856816178636068,0.3814432042762221
C0006,0.17737255100887406,0.08803662328339479,1.0,0.02630939296840785,0.5915674341331913
C0007,0.13054263248903797,0.05924632988641643,1.0,0.03181081968825323,0.5766554167944282
C0008,0.334071607870271,0.1184322549327177,1.0,0.06285158276929528,0.6365193348156237
C0009,0.2933371009840746,0.07068425568249403,1.0,0.018962540695682404,0.6522632754250283
C0010,0.11295012492285883,0.036443238906139985,1.0,0.04125022450617543,0.5713319835156656
C0011,0.22064002001825722,0.09197046740440817,1.0,0.015304751099112713,0.6148097307922925
C0012,0.10485457353904293,0.0305195886543973,1.0,0.03533853721929928,0.5721263397475654
C0013,0.25232541843438683,0.09668475293617607,1.0,0.04764546064984882,0.6131005551221893
C0014,0.18993618487410302,0.045812835234540605,0.5,0.019952331118264166,0.48774888361976526
C0015,0.17446812689924363,0.12888456256862924,1.0,0.06665040345373599,0.5598526067798897
C0016,0.20854240036283167,0.0336475524119364,0.5,0.03127019988101357,0.49467822449323723
C0017,0.31839999447058887,0.05891369770733901,1.0,0.010014703658123677,0.6710992715534077
C0018,0.17755813501033213,0.10721097304182825,1.0,0.03755831251263558,0.580836628211415
C0019,0.24831201968828376,0.07922982521196864,1.0,0.06910768845211147,0.6068730014926869
C0020,0.20350153238052876,0.1162896165859022,1.0,0.010687785086870424,0.6018793013063756
C0021,0.16816042368025974,0.1309802061389963,1.0,0.05605818334181514,0.5611519463106012
